?,Team,M,W,D,L,G,GA,PTS,xG,xGA,xPTS,CS,xCS
2,Manchester City,38,26,3,9,102,35,81,102.20,37.00,86.76,17,0.0
7,Wolverhampton Wanderers,38,15,14,9,51,40,59,54.22,37.39,63.82,13,0.0
3,Manchester United,38,18,12,8,66,36,66,66.19,38.06,70.99,13,0.0
1,Liverpool,38,32,3,3,85,33,99,75.19,39.57,74.28,15,0.0
4,Chelsea,38,20,6,12,69,54,66,76.23,41.09,73.49,9,0.0
5,Leicester,38,18,8,12,67,41,62,61.02,47.89,61.16,13,0.0
12,Everton,38,13,10,15,44,56,49,53.71,49.21,55.78,9,0.0
9,Sheffield United,38,14,12,12,39,39,54,45.81,52.04,49.34,13,0.0
10,Burnley,38,15,9,14,43,50,54,49.35,53.84,49.54,15,0.0
6,Tottenham,38,16,11,11,61,47,59,49.02,54.13,49.26,8,0.0
11,Southampton,38,15,7,16,51,60,52,56.50,56.59,56.87,9,0.0
8,Arsenal,38,14,14,10,56,48,56,50.82,57.25,50.15,10,0.0
14,Crystal Palace,38,11,10,17,31,50,43,34.45,57.39,38.26,10,0.0
19,Watford,38,8,10,20,36,64,34,48.56,59.53,47.87,9,0.0
15,Brighton,38,9,14,15,39,54,41,47.42,60.42,48.02,9,0.0
18,Bournemouth,38,9,7,22,40,65,34,44.67,63.29,39.20,5,0.0
13,Newcastle United,38,11,11,16,38,58,44,36.49,67.03,31.92,11,0.0
16,West Ham,38,10,9,19,49,62,39,49.07,68.32,38.75,7,0.0
17,Aston Villa,38,9,8,21,41,67,35,45.09,71.60,37.23,7,0.0
20,Norwich,38,5,6,27,26,75,21,37.23,71.61,33.12,5,0.0