Team,futureCS,GA,xGA,CS,
Arsenal,18,36,35.72,13,
Aston Villa,6,57,49.71,10,
Chelsea,9,32,31.52,17,
Crystal Palace,8,51,45.48,7,
Everton,10,50,46.18,10,
Leicester,15,55,56.39,10,
Liverpool,11,48,38.25,14,
Manchester City,16,38,40.5,14,
Manchester United,18,37,39.84,11,
Newcastle,8,63,51.01,8,
Southampton,12,33,39.11,15,
Stoke,10,45,47.03,9,
Sunderland,7,53,51.46,13,
Swansea,9,49,55.94,13,
Tottenham,13,53,57.04,9,
West Bromwich Albion,11,51,53.75,16,
West Ham,11,47,57.4,9,
Arsenal,13,36,33.86,18,
Bournemouth,10,67,53.97,7,
Chelsea,16,53,44.63,9,
Crystal Palace,7,51,52.94,8,
Everton,13,55,54.75,10,
Leicester,9,36,45.02,15,
Liverpool,12,50,37.88,11,
Manchester City,12,41,37.47,16,
Manchester United,17,35,39.66,18,
Southampton,14,41,44.29,12,
Stoke,11,55,54.35,10,
Sunderland,6,62,58.85,7,
Swansea,8,52,53.63,9,
Tottenham,17,35,37.08,13,
Watford,7,50,51.85,11,
West Bromwich Albion,6,48,51.94,11,
West Ham,10,51,55.48,11,
Chelsea,16,33,28.62,16,
Tottenham,16,26,33.78,17,
Manchester City,18,39,29.61,12,
Liverpool,17,42,37.65,12,
Arsenal,13,44,47.07,13,
Manchester United,19,29,31.62,17,
Everton,10,44,45.78,13,
Southampton,8,48,43.08,14,
Bournemouth,6,67,62.99,10,
West Bromwich Albion,10,51,47.9,6,
West Ham,10,64,59.67,10,
Leicester,9,63,51.3,9,
Stoke,6,56,48.67,11,
Crystal Palace,9,63,50.03,7,
Swansea,9,70,65.13,8,
Burnley,12,55,55.27,10,
Watford,9,68,52.62,7,
Arsenal,8,51,48.75,13,
Bournemouth,10,61,64.93,6,
Brighton,7,54,53.08,10,
Burnley,8,39,52.16,12,
Chelsea,16,38,34.03,16,
Crystal Palace,12,55,53.54,9,
Everton,14,58,55.5,10,
Huddersfield,5,58,53.22,10,
Leicester,10,60,49.36,9,
Liverpool,21,38,35.75,17,
Manchester City,20,27,24.51,18,
Manchester United,7,28,43.54,19,
Newcastle,11,47,52.47,9,
Southampton,7,56,46.56,8,
Tottenham,13,36,35.86,16,
Watford,7,64,53.98,9,
West Ham,7,68,58.37,10,
Arsenal,10,51,57.3,8,
Bournemouth,5,70,62.42,10,
Brighton,9,60,62.46,7,
Burnley,15,68,66.12,8,
Chelsea,9,39,38.11,16,
Crystal Palace,10,53,52.8,12,
Everton,9,46,49.31,14,
Leicester,13,48,44.64,10,
Liverpool,15,22,29.15,21,
Manchester City,17,23,25.73,20,
Manchester United,13,54,52.3,7,
Newcastle,11,48,57.55,11,
Southampton,9,65,59.27,7,
Tottenham,8,39,49.15,13,
Watford,9,59,63.29,7,
West Ham,7,55,65.66,7,
Wolverhampton Wanderers,13,46,42.69,9,